	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGBKPADF_00001	56441.0394012402	0.0405420843981929	0.0408801175983007	0.991731109889913	0.321328710973745	0.819100872941212
FGBKPADF_00002	47387.8686648336	0.0620737036733849	0.042901382713669	1.44689284463569	0.147926937494642	0.675276864017748
FGBKPADF_00003	3198.00950592556	0.0672107411856927	0.0744687397558288	0.902536304576471	0.366772045008236	0.837530416251248
FGBKPADF_00004	23290.4546164902	0.0551662225482978	0.0451778742312847	1.2210893825123	0.222052179280436	0.758280475828844
FGBKPADF_00005	5769.46889586939	0.0384356252780497	0.0537995628098958	0.71442263227797	0.474965881270407	0.878686880350253
FGBKPADF_00006	23152.4474665311	0.0298065650453049	0.0448183004838051	0.66505344298085	0.506016311263266	0.890558201496632
FGBKPADF_00007	22303.8939958116	0.0953288704006912	0.0551955785581209	1.72711062898471	0.0841477970618724	0.540236541867546
FGBKPADF_00008	4595.62357403221	-0.00231401537677526	0.0560688896146001	-0.0412709328235511	0.967079905566042	0.996795070633785
FGBKPADF_00009	13541.5583259042	0.0212917928058629	0.0627873382616732	0.339109658019376	0.734527123019145	0.956688406637257
FGBKPADF_00010	19292.5985425902	-0.0135501801890783	0.0466035130723602	-0.290754479561215	0.771239101946815	0.963488581734396
FGBKPADF_00011	10884.1966537201	0.071036312125581	0.0661582688868209	1.07373293347662	0.282942396300766	0.795745331946959
FGBKPADF_00012	16843.0357875864	-0.0712040363309969	0.111972952215707	-0.63590389394957	0.524839064500191	0.898588462546152
FGBKPADF_00013	4405.12698051565	0.109049533000508	0.112784988373414	0.966879853189868	0.333604099224454	0.819312642416016
FGBKPADF_00014	15834.5999921847	-0.0375912737460324	0.0904058000434014	-0.415805996163807	0.677551970824873	0.942181589851146
FGBKPADF_00015	246.825071343018	0.0315525951391467	0.164479420576802	0.191833087862888	0.847872951909497	NA
FGBKPADF_00016	4052.65774566727	0.0131143272207909	0.0710221333422207	0.184651271422663	0.85350256857768	0.979849997725409
FGBKPADF_00017	5435.20712665325	-0.0870278328776445	0.0543847757279688	-1.60022417510657	0.109548860937427	0.612770180342031
FGBKPADF_00018	120.721859939873	0.112025565382562	0.198733203618336	0.563698281630408	0.572959487052063	NA
FGBKPADF_00019	314.1182038711	0.401409491116216	0.160504544245557	2.50092290534837	0.0123870140274136	0.232215222967248
FGBKPADF_00020	925.280692554817	-0.0475815751693359	0.0792361462795179	-0.600503399060884	0.548170796270486	0.904707426586537
FGBKPADF_00021	2856.71778313431	0.140080653809037	0.0659196777976138	2.12502030484906	0.0335849186568329	0.387052423209074
FGBKPADF_00022	10626.4578486059	-0.0243556889777655	0.0579649091263925	-0.420179887191023	0.674354046509022	0.94108366192723
FGBKPADF_00023	12129.1360908723	0.0443644740246957	0.049874537551552	0.889521511429336	0.373722867515533	0.847672693756355
FGBKPADF_00024	22638.4411427473	0.0549454503647762	0.0506446876856465	1.08492031199451	0.277956950872968	0.794968416595292
FGBKPADF_00025	6681.71092827511	0.0329196316363505	0.0633471633555922	0.519670177677251	0.603293476024118	0.925490587219363
FGBKPADF_00026	3702.30144362666	0.0558694245076736	0.0769786073931149	0.725778581864429	0.467974519057826	0.8771005382307
FGBKPADF_00027	1392.79908595563	0.0427311337148531	0.104467555308363	0.409037366565353	0.68251223938889	0.944965247248429
FGBKPADF_00028	1219.32395943366	0.200652087291992	0.0963166726561082	2.08325393474094	0.0372280832294556	0.404190617919804
FGBKPADF_00029	1594.26585713629	0.144035733378951	0.0769180770757918	1.87258624831487	0.0611255417497603	0.492749842733338
FGBKPADF_00030	458.150206170368	-0.196167709769286	0.107438261117765	-1.82586452655133	0.0678706707201899	0.50758597357759
FGBKPADF_00031	2572.77214486562	-0.0203793343234051	0.0780736288231278	-0.261027117998749	0.79407159485579	0.967452904685314
FGBKPADF_00032	2681.98644136232	-0.0661124180201162	0.0576140679217159	-1.14750477452742	0.251173060982473	0.785649218556969
FGBKPADF_00033	58.9190509958106	0.152674641271284	0.25961842560615	0.588073211347861	0.556483153208392	NA
FGBKPADF_00034	20.8000053795172	-0.251018316066458	0.418869412684553	-0.599275832669829	0.548988961064637	NA
FGBKPADF_00035	46.6114773757772	0.0614732520429708	0.320136369405579	0.192022081580774	0.847724908679922	NA
FGBKPADF_00036	1132.20246969023	0.00601906970800572	0.110605981900943	0.0544190251246655	0.956601321455752	0.996395079593527
FGBKPADF_00037	456.604037832225	-0.119031389569113	0.116836211519781	-1.01878850761059	0.308303382864054	0.814036725458891
FGBKPADF_00038	353.88166725056	-0.100516253158477	0.113156700012292	-0.888292546067159	0.37438340819218	0.847672693756355
FGBKPADF_00039	372.547478731941	-0.0378889477189691	0.161290344926613	-0.234911443311802	0.814277467596081	0.969600008384762
FGBKPADF_00040	69.2992611358632	-0.0660592118202965	0.244499210251963	-0.270181698142177	0.787020472051609	NA
FGBKPADF_00041	107.805362260579	-0.408626063431424	0.230845142283989	-1.77013065723829	0.0767053775270985	NA
FGBKPADF_00042	722.984358572412	-0.106805516189372	0.118010946152788	-0.905047537294479	0.365440203687629	0.837526046099849
FGBKPADF_00043	1278.30132849005	-0.148270377042932	0.0788369558952697	-1.88072174222329	0.0600097804569223	0.492749842733338
FGBKPADF_00044	87.6618206389845	0.117110173464067	0.248557577705357	0.471159135622454	0.637527098094262	NA
FGBKPADF_00045	86.3390904552289	-0.159476992928952	0.254502548535635	-0.626622380980291	0.530906794003455	NA
FGBKPADF_00046	356.365747188941	-0.12417716869828	0.146853722717336	-0.845584071009875	0.397784814749846	0.858096669305823
FGBKPADF_00047	1957.50990281336	-0.220034297852759	0.291670300381416	-0.75439390834453	0.450612728326748	0.872929230773865
FGBKPADF_00048	745.457461441593	-0.236278746729799	0.0947767469839489	-2.4930033394142	0.0126667654933263	0.234335161626536
FGBKPADF_00049	114.124493678483	-0.0376243336187008	0.213304209382329	-0.176388144086095	0.859989018285956	NA
FGBKPADF_00050	219.790466496756	0.108582552585177	0.165368391787497	0.656610077726998	0.511431667266835	NA
FGBKPADF_00051	5558.27880757444	-0.0947655895979776	0.0990181290208741	-0.957052920864622	0.338540544512958	0.819312642416016
FGBKPADF_00052	2876.0385755668	0.0300676217106483	0.147885966240839	0.203316261001276	0.838887846516669	0.973825351697505
FGBKPADF_00053	3010.73928396003	-0.00593442383147279	0.216004325159872	-0.0274736342759827	0.978081968707185	0.996795070633785
FGBKPADF_00054	4588.56456773988	-0.194189503164057	0.117508905968866	-1.65255136674923	0.0984222028253073	0.58991467737905
FGBKPADF_00055	9849.13354651866	-0.141752512061735	0.0950711444692368	-1.49101510088167	0.135957530288151	0.650578179324839
FGBKPADF_00056	98.4684991527601	0.441389370409098	0.264136113365038	1.67106786264813	0.0947082742926966	NA
FGBKPADF_00057	44.9860033057685	-0.200592294088595	0.345842652219235	-0.580010281558438	0.561907684347209	NA
FGBKPADF_00058	27.7178984610174	1.1708557479897	0.420372142964712	2.78528386712814	0.00534808805031443	NA
FGBKPADF_00059	228.439443525611	0.375333742785017	0.173447574603113	2.16396074516387	0.0304673622275157	NA
FGBKPADF_00060	11584.0390125171	-0.10278201503265	0.0539735293815597	-1.90430413223571	0.0568705863770296	0.481687014735564
FGBKPADF_00061	1354.89272698514	-0.0330233625399892	0.0775894554409817	-0.425616629892555	0.670387220500248	0.939607466337405
FGBKPADF_00062	55.3001350805196	1.14963002222525	0.569304725245621	2.0193579488195	0.0434500288776677	NA
FGBKPADF_00063	153.436052628738	0.0782670303990038	0.192446633015454	0.406694724519907	0.684232215622163	NA
FGBKPADF_00064	3380.10044491918	0.0486255785132093	0.0569983053831916	0.853105687727142	0.393600697572691	0.858096669305823
FGBKPADF_00065	13826.7222670235	0.150014931548094	0.0412614805426896	3.63571373530542	0.000277212038852539	0.0299815482020516
FGBKPADF_00066	6670.93391395292	0.159799947599036	0.0774088241335281	2.06436345452536	0.038983268774192	0.407512831944341
FGBKPADF_00067	2220.95520439749	-0.103225490753137	0.0929426844990269	-1.11063599367218	0.266725063162945	0.789018816905168
FGBKPADF_00068	4932.15773961615	-0.134260443503936	0.0615542613870004	-2.18117219634595	0.0291706824802619	0.369495311416651
FGBKPADF_00069	488.898335127106	-0.161073031557851	0.0969496079675973	-1.66140982861617	0.0966311651663406	0.586883016085853
FGBKPADF_00070	26.4020223802082	-0.0464130340819574	0.431481435035701	-0.107566700009045	0.914339413224467	NA
FGBKPADF_00071	10.9718647878911	-0.110380403090239	0.664113270789012	-0.166207193780512	0.86799389837312	NA
FGBKPADF_00072	2418.05075287484	0.0151342716473938	0.0590669069003848	0.25622251852323	0.797779021595148	0.967980339856167
FGBKPADF_00073	78.4696639739461	-0.110556538894059	0.233328192045461	-0.473824178402403	0.635625291364934	NA
FGBKPADF_00074	12302.0417692472	-0.0357901419553752	0.045540675495818	-0.785893963269426	0.431929611478355	0.872929230773865
FGBKPADF_00079	6116.81899936042	0.0852871378900464	0.0860654815089209	0.99095637873363	0.321706880853228	0.819100872941212
FGBKPADF_00080	14055.5364106141	0.217086129181574	0.0739709682676097	2.93474770258796	0.00333818993380302	0.132211128082452
FGBKPADF_00081	13105.998312988	0.136499998566029	0.0959133460461564	1.42315959345575	0.154689896053612	0.684708938496591
