Geneid	T0	T10
IABCJNHA_00215	25	16
IABCJNHA_00216	78	13
IABCJNHA_00217	39	2
IABCJNHA_00218	1	1
IABCJNHA_00219	2	2
IABCJNHA_00220	56	12
IABCJNHA_00221	13	29
IABCJNHA_00222	90	73
IABCJNHA_00223	23	36
IABCJNHA_00224	2	1
IABCJNHA_00225	0	4
IABCJNHA_00226	0	5
IABCJNHA_00227	2	4
IABCJNHA_00228	151	10
IABCJNHA_00229	55	11
IABCJNHA_00230	143	22
IABCJNHA_00231	11	2
IABCJNHA_00232	14	5
IABCJNHA_00233	618	567
IABCJNHA_00234	13	8
IABCJNHA_00235	27	28
IABCJNHA_00236	29	4
IABCJNHA_00237	13	12
IABCJNHA_00238	2	0
IABCJNHA_00239	658	259
IABCJNHA_00240	2770	970
IABCJNHA_00241	57	30
IABCJNHA_00242	2	4
IABCJNHA_00243	39	2
IABCJNHA_00244	280	63
IABCJNHA_00245	69	17
IABCJNHA_00246	99	29
IABCJNHA_00247	9	9
IABCJNHA_00248	6	2
IABCJNHA_00249	90	14
IABCJNHA_00250	962	76
IABCJNHA_00251	565	19
IABCJNHA_00252	341	18
IABCJNHA_00253	51	22
IABCJNHA_00254	8	5
IABCJNHA_00255	20	2
IABCJNHA_00256	11	8
IABCJNHA_00257	8	8
IABCJNHA_00258	15	6
IABCJNHA_00259	3	1
IABCJNHA_00260	9	18
IABCJNHA_00261	4	18
IABCJNHA_00262	25	1
IABCJNHA_00263	2	4
IABCJNHA_00264	3	2
IABCJNHA_00265	1	0
IABCJNHA_00266	120	30
IABCJNHA_00267	26	0
IABCJNHA_00268	44	1
IABCJNHA_00269	35	2
IABCJNHA_00270	130	14
IABCJNHA_00271	559	204
IABCJNHA_00272	553	390
IABCJNHA_00273	1203	904
IABCJNHA_00274	285	204
IABCJNHA_00275	915	641
IABCJNHA_00276	1186	766
IABCJNHA_00277	220	74
IABCJNHA_00278	27	23
IABCJNHA_00279	32	8
IABCJNHA_00280	33	9
IABCJNHA_00281	28	5
IABCJNHA_00282	0	0
IABCJNHA_00283	8	4
IABCJNHA_00284	52	29
IABCJNHA_00285	10	7
IABCJNHA_00286	1571	408
IABCJNHA_00287	0	8
IABCJNHA_00288	24	6
IABCJNHA_00289	134	38
IABCJNHA_00290	120	47
IABCJNHA_00291	36	24
IABCJNHA_00292	64	15
IABCJNHA_00293	52	4
IABCJNHA_00294	68	7
IABCJNHA_00295	45	21
IABCJNHA_00296	42	15
IABCJNHA_00297	103	46
IABCJNHA_00298	88	12
IABCJNHA_00299	320	44
IABCJNHA_00300	247	57
IABCJNHA_00301	16	10
IABCJNHA_00302	16	0
IABCJNHA_00303	8	0
IABCJNHA_00304	23	9
IABCJNHA_00305	13	2
IABCJNHA_00306	15	7
IABCJNHA_00307	89	34
IABCJNHA_00308	251	82
IABCJNHA_00309	4	4
IABCJNHA_00310	6402	1155
IABCJNHA_00311	7774	1910
IABCJNHA_00312	3111	871
IABCJNHA_00313	2504	782
IABCJNHA_00314	4	5
IABCJNHA_00315	86	130
IABCJNHA_00316	164	46
IABCJNHA_00317	22	16
IABCJNHA_00318	72	50
IABCJNHA_00319	3	4
IABCJNHA_00320	29	16
IABCJNHA_00321	89	4
IABCJNHA_00322	42	23
IABCJNHA_00323	132	42
IABCJNHA_00324	22	5
IABCJNHA_00325	167	69
IABCJNHA_00326	8	4
IABCJNHA_00327	18	8
IABCJNHA_00328	8	3
IABCJNHA_00329	195	111
IABCJNHA_00330	199	113
IABCJNHA_00331	14	7
IABCJNHA_00332	44	27
IABCJNHA_00333	198	95
IABCJNHA_00334	97	22
IABCJNHA_00335	0	0
IABCJNHA_00336	2	4
IABCJNHA_00337	0	7
IABCJNHA_00338	0	4
IABCJNHA_00339	6	10
IABCJNHA_00340	6	6
IABCJNHA_00341	3	6
IABCJNHA_00342	8	24
IABCJNHA_00343	5	16
IABCJNHA_00344	13	18
IABCJNHA_00345	12	6
IABCJNHA_00346	4	2
IABCJNHA_00347	491	144
IABCJNHA_00348	3426	1081
IABCJNHA_00349	18215	15338
IABCJNHA_00350	1410	1344
IABCJNHA_00351	823	921
IABCJNHA_00352	8	20
IABCJNHA_00353	13	8
IABCJNHA_00354	27	13
IABCJNHA_00355	37	24
IABCJNHA_00356	104	62
IABCJNHA_00357	46	27
IABCJNHA_00358	34	21
IABCJNHA_00359	51	18
IABCJNHA_00360	594	131
IABCJNHA_00361	851	858
IABCJNHA_00362	5	51
IABCJNHA_00363	75	57
IABCJNHA_00364	0	13
IABCJNHA_00365	4	4
IABCJNHA_00366	0	7
IABCJNHA_00367	313	315
IABCJNHA_00368	95	110
IABCJNHA_00369	10	7
IABCJNHA_00370	15	30
IABCJNHA_00371	106	32
IABCJNHA_00372	11	14
IABCJNHA_00373	27	10
IABCJNHA_00374	66	38
IABCJNHA_00375	171	79
IABCJNHA_00376	202	109
IABCJNHA_00377	2	0
IABCJNHA_00378	135	192
IABCJNHA_00379	79	203
IABCJNHA_00380	16	1
IABCJNHA_00381	27	9
IABCJNHA_00382	582	216
IABCJNHA_00383	14	26
IABCJNHA_00384	10	8
IABCJNHA_00385	4	2
IABCJNHA_00386	13	6
IABCJNHA_00387	44	13
IABCJNHA_00388	37	10
IABCJNHA_00389	64	17
IABCJNHA_00390	16	6
IABCJNHA_00391	227	41
IABCJNHA_00392	40	4
IABCJNHA_00393	174	26
IABCJNHA_00394	545	200
IABCJNHA_00395	4	2
IABCJNHA_00396	133	22
IABCJNHA_00397	2	6
IABCJNHA_00398	0	0
IABCJNHA_00399	33	4
IABCJNHA_00400	16	2
IABCJNHA_00401	2	2
IABCJNHA_00402	0	0
IABCJNHA_00403	0	0
IABCJNHA_00404	104	43
IABCJNHA_00405	55	43
IABCJNHA_00406	0	0
IABCJNHA_00407	0	2
IABCJNHA_00408	0	0
IABCJNHA_00409	31	6
IABCJNHA_00410	45	8
IABCJNHA_00411	852	860
IABCJNHA_00412	597	658
IABCJNHA_00413	45	37
IABCJNHA_00414	113	88
IABCJNHA_00415	8776	5265
IABCJNHA_00416	2689	1749
IABCJNHA_00417	836	475
IABCJNHA_00418	577	435
IABCJNHA_00419	589	436
IABCJNHA_00420	1148	889
IABCJNHA_00421	34	126
IABCJNHA_00422	5	6
IABCJNHA_00423	0	7
IABCJNHA_00424	56	60
IABCJNHA_00425	7	24
IABCJNHA_00426	655	306
IABCJNHA_00427	46	91
IABCJNHA_00428	11	16
IABCJNHA_00429	2	4
IABCJNHA_00430	0	21
IABCJNHA_00431	2	1
IABCJNHA_00432	20	86
IABCJNHA_00433	0	12
IABCJNHA_00434	41	30
IABCJNHA_00435	169	91
IABCJNHA_00436	76	66
IABCJNHA_00437	857	422
IABCJNHA_00438	430	318
IABCJNHA_00439	905	554
IABCJNHA_00440	3562	2093
IABCJNHA_00441	1492	989
IABCJNHA_00442	4656	3652
IABCJNHA_00443	3261	2622
