Geneid	T0	T10
IABCJNHA_00928	6	4
IABCJNHA_00929	358	204
IABCJNHA_00930	6	6
IABCJNHA_00931	52	5
IABCJNHA_00932	13	8
IABCJNHA_00933	12	6
IABCJNHA_00934	517	336
IABCJNHA_00935	9	20
IABCJNHA_00936	12	6
IABCJNHA_00937	6	4
IABCJNHA_00938	42	4
IABCJNHA_00939	13	6
IABCJNHA_00940	15	10
IABCJNHA_00941	32	6
IABCJNHA_00942	21	7
IABCJNHA_00943	98	49
IABCJNHA_00944	3	0
IABCJNHA_00945	315	191
IABCJNHA_00946	3892	1633
IABCJNHA_00947	75	34
IABCJNHA_00948	899	592
IABCJNHA_00949	0	1
IABCJNHA_00950	65	3
IABCJNHA_00951	251	12
IABCJNHA_00952	323	53
IABCJNHA_00953	48	20
IABCJNHA_00954	190	80
IABCJNHA_00955	33	31
IABCJNHA_00956	11	7
IABCJNHA_00957	2	5
IABCJNHA_00958	114	48
IABCJNHA_00959	30	17
IABCJNHA_00960	55	36
IABCJNHA_00961	100	114
IABCJNHA_00962	258	188
IABCJNHA_00963	944	525
IABCJNHA_00964	272	125
IABCJNHA_00965	0	0
IABCJNHA_00966	3	13
IABCJNHA_00967	161	37
IABCJNHA_00968	56	9
IABCJNHA_00969	674	221
IABCJNHA_00970	219	114
IABCJNHA_00971	24	29
IABCJNHA_00972	151	78
IABCJNHA_00973	74	41
IABCJNHA_00974	114	68
IABCJNHA_00975	255	137
IABCJNHA_00976	38	33
IABCJNHA_00977	66	26
IABCJNHA_00978	421	222
IABCJNHA_00979	0	0
IABCJNHA_00980	40	12
IABCJNHA_00981	6	4
IABCJNHA_00982	13	10
IABCJNHA_00983	32	4
IABCJNHA_00984	56	2
IABCJNHA_00985	151	134
IABCJNHA_00986	135	88
IABCJNHA_00987	85	34
IABCJNHA_00988	85	14
IABCJNHA_00989	386	138
IABCJNHA_00990	5	6
IABCJNHA_00991	0	0
IABCJNHA_00992	7	3
IABCJNHA_00993	53	38
IABCJNHA_00994	31	6
IABCJNHA_00995	176	90
IABCJNHA_00996	15	7
IABCJNHA_00997	0	2
IABCJNHA_00998	411	139
IABCJNHA_00999	946	495
IABCJNHA_01000	978	1198
IABCJNHA_01001	0	9
IABCJNHA_01002	592	817
IABCJNHA_01003	78	138
IABCJNHA_01004	2220	1178
IABCJNHA_01005	45	26
IABCJNHA_01006	71	64
IABCJNHA_01007	2	2
IABCJNHA_01008	0	0
IABCJNHA_01009	0	0
IABCJNHA_01010	22	30
IABCJNHA_01011	0	6
IABCJNHA_01012	14	10
IABCJNHA_01013	49	30
IABCJNHA_01014	8	22
IABCJNHA_01015	8	2
IABCJNHA_01016	877	210
IABCJNHA_01017	17	18
IABCJNHA_01018	1191	224
IABCJNHA_01019	455	132
IABCJNHA_01020	118	50
IABCJNHA_01021	32	16
IABCJNHA_01022	50	22
IABCJNHA_01023	13	7
IABCJNHA_01024	37	8
IABCJNHA_01025	176	110
IABCJNHA_01026	156	60
IABCJNHA_01027	56	49
IABCJNHA_01029	0	0
IABCJNHA_01030	84	58
IABCJNHA_01031	51	33
IABCJNHA_01032	224	107
IABCJNHA_01033	16	23
IABCJNHA_01034	14	9
IABCJNHA_01035	62	62
IABCJNHA_01036	46	30
IABCJNHA_01037	32	16
IABCJNHA_01038	46	12
IABCJNHA_01039	50	50
IABCJNHA_01040	379	93
IABCJNHA_01041	212	18
IABCJNHA_01042	432	36
IABCJNHA_01043	135	9
IABCJNHA_01044	9	0
IABCJNHA_01045	4	16
IABCJNHA_01046	8	11
IABCJNHA_01047	10	17
IABCJNHA_01048	12	26
IABCJNHA_01049	22	32
IABCJNHA_01050	0	0
IABCJNHA_01051	2	0
IABCJNHA_01052	0	0
IABCJNHA_01053	6	11
IABCJNHA_01054	6	2
IABCJNHA_01055	0	0
IABCJNHA_01056	0	0
IABCJNHA_01057	0	0
IABCJNHA_01058	6	4
IABCJNHA_01059	0	2
IABCJNHA_01060	459	143
IABCJNHA_01061	444	109
IABCJNHA_01062	189	65
IABCJNHA_01063	640	472
IABCJNHA_01064	108	239
IABCJNHA_01065	67	88
IABCJNHA_01066	117	770
IABCJNHA_01067	94	571
IABCJNHA_01068	129	762
IABCJNHA_01069	53	342
IABCJNHA_01070	0	0
IABCJNHA_01071	7	4
IABCJNHA_01072	0	0
IABCJNHA_01073	8	12
IABCJNHA_01074	86	58
IABCJNHA_01075	254	147
IABCJNHA_01076	292	84
IABCJNHA_01077	8	3
IABCJNHA_01078	831	339
IABCJNHA_01079	0	0
IABCJNHA_01080	26	8
IABCJNHA_01081	2	0
IABCJNHA_01082	2	0
IABCJNHA_01083	0	0
IABCJNHA_01084	13	18
IABCJNHA_01085	21	8
IABCJNHA_01086	10746	1362
IABCJNHA_01087	701	360
IABCJNHA_01088	1138	836
IABCJNHA_01089	534	520
IABCJNHA_01090	38	26
IABCJNHA_01091	270	161
IABCJNHA_01092	387	209
IABCJNHA_01093	49	28
IABCJNHA_01094	82	54
IABCJNHA_01095	2	8
IABCJNHA_01096	11	4
IABCJNHA_01097	17	1
IABCJNHA_01098	36	16
IABCJNHA_01099	42	7
IABCJNHA_01100	81	27
IABCJNHA_01101	39	20
IABCJNHA_01102	312	94
IABCJNHA_01103	28	3
IABCJNHA_01104	32	10
IABCJNHA_01105	11	6
IABCJNHA_01106	18	22
IABCJNHA_01107	169	56
IABCJNHA_01108	9	6
IABCJNHA_01109	42	30
IABCJNHA_01110	0	0
IABCJNHA_01111	1239	658
IABCJNHA_01112	206	260
IABCJNHA_01113	48	0
IABCJNHA_01114	10	0
IABCJNHA_01115	4	4
IABCJNHA_01116	39	0
IABCJNHA_01117	16	2
IABCJNHA_01118	10	4
IABCJNHA_01119	4	4
IABCJNHA_01120	12	5
IABCJNHA_01121	11	6
IABCJNHA_01122	4	4
IABCJNHA_01123	2	9
IABCJNHA_01124	7	4
IABCJNHA_01125	5	2
IABCJNHA_01126	12	0
IABCJNHA_01127	38	22
IABCJNHA_01128	28	6
IABCJNHA_01129	0	0
IABCJNHA_01130	2	0
IABCJNHA_01131	4	0
IABCJNHA_01132	8	10
IABCJNHA_01133	0	4
IABCJNHA_01134	0	4
IABCJNHA_01135	342	173
IABCJNHA_01136	158	60
IABCJNHA_01137	256	320
IABCJNHA_01138	119	554
IABCJNHA_01139	67	32
IABCJNHA_01140	217	68
IABCJNHA_01141	290	124
IABCJNHA_01142	8	10
IABCJNHA_01143	328	241
IABCJNHA_01144	140	66
IABCJNHA_01145	91	104
IABCJNHA_01146	336	221
IABCJNHA_01147	287	192
IABCJNHA_01148	257	142
IABCJNHA_01149	153	100
IABCJNHA_01150	2	2
IABCJNHA_01151	164	105
IABCJNHA_01152	170	68
IABCJNHA_01153	539	274
IABCJNHA_01154	182	148
IABCJNHA_01155	126	70
IABCJNHA_01156	101	63
IABCJNHA_01157	310	206
IABCJNHA_01158	1066	629
IABCJNHA_01159	723	392
IABCJNHA_01160	485	683
IABCJNHA_01161	792	794
IABCJNHA_01162	469	996
IABCJNHA_01163	606	1443
IABCJNHA_01164	174	430
IABCJNHA_01165	619	429
IABCJNHA_01166	258	175
IABCJNHA_01167	82	133
IABCJNHA_01168	63	114
IABCJNHA_01169	323	56
IABCJNHA_01170	205	35
IABCJNHA_01171	222	36
IABCJNHA_01172	467	101
IABCJNHA_01173	816	610
IABCJNHA_01174	0	5
IABCJNHA_01175	2130	916
IABCJNHA_01176	152	130
IABCJNHA_01177	144	80
IABCJNHA_01178	17	18
IABCJNHA_01179	74	25
IABCJNHA_01180	1375	937
IABCJNHA_01181	78	46
IABCJNHA_01182	104	88
IABCJNHA_01183	193	126
IABCJNHA_01184	37	37
IABCJNHA_01185	472	324
IABCJNHA_01186	318	192
IABCJNHA_01187	461	314
IABCJNHA_01188	887	638
IABCJNHA_01189	329	266
IABCJNHA_01190	2	30
IABCJNHA_01191	6	14
IABCJNHA_01192	713	325
IABCJNHA_01193	297	156
IABCJNHA_01194	975	872
IABCJNHA_01195	33	88
IABCJNHA_01196	14	28
IABCJNHA_01197	27	18
IABCJNHA_01198	9	7
IABCJNHA_01199	182	92
IABCJNHA_01200	209	108
IABCJNHA_01201	2	0
IABCJNHA_01202	0	1
IABCJNHA_01203	0	2
IABCJNHA_01204	0	8
IABCJNHA_01205	0	0
IABCJNHA_01206	0	0
IABCJNHA_01207	0	0
IABCJNHA_01208	4	0
IABCJNHA_01209	0	0
IABCJNHA_01210	0	2
IABCJNHA_01211	1	0
IABCJNHA_01212	10	2
IABCJNHA_01213	0	0
IABCJNHA_01214	88	48
IABCJNHA_01215	53	20
IABCJNHA_01216	400	219
IABCJNHA_01217	112	50
IABCJNHA_01218	7	6
IABCJNHA_01219	2	0
IABCJNHA_01220	439	224
IABCJNHA_01221	258	130
IABCJNHA_01222	85	52
IABCJNHA_01223	628	255
IABCJNHA_01224	845	461
IABCJNHA_01225	2087	1768
IABCJNHA_01226	2634	2276
IABCJNHA_01227	219	266
IABCJNHA_01228	0	0
IABCJNHA_01229	50	39
IABCJNHA_01230	5754	3120
IABCJNHA_01231	12089	5567
IABCJNHA_01232	8870	4852
IABCJNHA_01233	302	18
IABCJNHA_01234	331	29
IABCJNHA_01235	392	372
IABCJNHA_01236	185	194
IABCJNHA_01237	195	152
IABCJNHA_01238	196	166
IABCJNHA_01239	16	6
IABCJNHA_01240	7	4
IABCJNHA_01241	14	5
IABCJNHA_01242	7271	1075
IABCJNHA_01243	3184	548
IABCJNHA_01244	51	13
IABCJNHA_01245	67	71
IABCJNHA_01246	87	98
IABCJNHA_01247	33	9
IABCJNHA_01248	118	66
IABCJNHA_01249	893	414
IABCJNHA_01250	504	276
IABCJNHA_01251	19	2
IABCJNHA_01252	73	28
IABCJNHA_01253	79	28
IABCJNHA_01254	17	0
IABCJNHA_01255	23	2
IABCJNHA_01256	238	72
IABCJNHA_01257	3164	1689
IABCJNHA_01258	2097	1501
IABCJNHA_01259	1289	896
IABCJNHA_01260	11	74
IABCJNHA_01261	273	61
IABCJNHA_01262	494	409
IABCJNHA_01263	0	2
IABCJNHA_01264	40	2
IABCJNHA_01265	25	4
IABCJNHA_01266	18	2
IABCJNHA_01267	8	0
IABCJNHA_01268	12	0
IABCJNHA_01269	18	0
IABCJNHA_01270	4	2
IABCJNHA_01271	6	4
IABCJNHA_01272	15	8
IABCJNHA_01273	172	45
IABCJNHA_01274	49	25
IABCJNHA_01275	45	13
IABCJNHA_01276	4017	2457
IABCJNHA_01277	5852	3413
IABCJNHA_01278	22	13
IABCJNHA_01279	0	3
IABCJNHA_01280	82	55
IABCJNHA_01281	168	76
IABCJNHA_01282	804	348
IABCJNHA_01283	88	80
IABCJNHA_01284	22	12
IABCJNHA_01285	77	56
IABCJNHA_01286	166	272
IABCJNHA_01287	540	744
IABCJNHA_01288	139	123
IABCJNHA_01289	388	104
IABCJNHA_01290	279	51
IABCJNHA_01291	144	33
IABCJNHA_01292	294	81
IABCJNHA_01293	223	65
IABCJNHA_01294	0	0
IABCJNHA_01295	19	2
IABCJNHA_01296	494	328
IABCJNHA_01297	98	59
IABCJNHA_01298	55	10
IABCJNHA_01299	110	58
IABCJNHA_01300	958	162
IABCJNHA_01301	4301	1133
IABCJNHA_01302	1767	435
IABCJNHA_01303	68	72
IABCJNHA_01304	82	64
IABCJNHA_01305	125	60
IABCJNHA_01306	226	151
IABCJNHA_01307	8	12
IABCJNHA_01308	212	275
IABCJNHA_01309	243	346
IABCJNHA_01310	191	270
IABCJNHA_01312	2	2
IABCJNHA_01313	4	2
IABCJNHA_01314	2	0
IABCJNHA_01315	181	33
IABCJNHA_01316	42	16
IABCJNHA_01317	89	91
IABCJNHA_01318	76	88
IABCJNHA_01319	22	27
IABCJNHA_01320	81	84
IABCJNHA_01321	20	17
IABCJNHA_01322	130	62
IABCJNHA_01323	5409	6958
IABCJNHA_01324	2957	2479
IABCJNHA_01325	8	9
IABCJNHA_01326	784	255
IABCJNHA_01327	329	121
IABCJNHA_01328	2	2
IABCJNHA_01329	712	177
IABCJNHA_01330	267	80
IABCJNHA_01331	356	153
IABCJNHA_01332	276	141
IABCJNHA_01333	511	315
IABCJNHA_01334	745	453
IABCJNHA_01335	9	34
IABCJNHA_01336	4	13
IABCJNHA_01337	0	1
IABCJNHA_01338	900	168
IABCJNHA_01339	257	71
IABCJNHA_01340	2	1
IABCJNHA_01341	4	17
IABCJNHA_01342	298	206
IABCJNHA_01343	230	154
IABCJNHA_01344	983	599
IABCJNHA_01345	878	522
IABCJNHA_01346	194	94
IABCJNHA_01347	813	398
IABCJNHA_01348	754	373
IABCJNHA_01349	3	43
IABCJNHA_01350	8	32
IABCJNHA_01351	3427	1800
IABCJNHA_01352	3828	1718
IABCJNHA_01353	4413	2473
IABCJNHA_01354	120	417
IABCJNHA_01355	327	1184
IABCJNHA_01356	77	270
IABCJNHA_01357	68	253
IABCJNHA_01358	110	68
IABCJNHA_01359	36	28
IABCJNHA_01360	0	26
IABCJNHA_01361	2	4
IABCJNHA_01362	4	11
IABCJNHA_01363	4	26
IABCJNHA_01364	8	2
IABCJNHA_01365	10	25
IABCJNHA_01366	10	4
IABCJNHA_01367	6	2
IABCJNHA_01368	0	0
IABCJNHA_01369	58	20
IABCJNHA_01370	492	69
IABCJNHA_01371	155	21
IABCJNHA_01372	29	2
IABCJNHA_01373	81	36
IABCJNHA_01374	268	153
IABCJNHA_01375	22	20
IABCJNHA_01376	298	219
IABCJNHA_01377	376	253
IABCJNHA_01378	781	609
IABCJNHA_01379	0	0
IABCJNHA_01380	2	0
IABCJNHA_01381	2	0
IABCJNHA_01382	231	124
IABCJNHA_01383	1804	701
IABCJNHA_01384	127	144
IABCJNHA_01385	66	51
IABCJNHA_01386	557	642
IABCJNHA_01387	180	160
IABCJNHA_01388	922	697
IABCJNHA_01389	95	50
IABCJNHA_01390	600	128
IABCJNHA_01391	1	1
IABCJNHA_01392	455	124
IABCJNHA_01393	1217	321
IABCJNHA_01394	214	255
IABCJNHA_01395	78	34
IABCJNHA_01396	162	228
IABCJNHA_01397	355	526
IABCJNHA_01398	892	1062
IABCJNHA_01399	54	233
IABCJNHA_01400	461	1507
IABCJNHA_01401	7	43
IABCJNHA_01402	7	33
IABCJNHA_01403	1	8
IABCJNHA_01404	0	0
IABCJNHA_01405	0	0
IABCJNHA_01406	0	0
IABCJNHA_01407	0	0
IABCJNHA_01408	0	0
IABCJNHA_01409	1058	345
IABCJNHA_01410	189	57
IABCJNHA_01411	435	217
IABCJNHA_01412	797	353
IABCJNHA_01413	172	52
IABCJNHA_01414	55	62
IABCJNHA_01415	222	184
IABCJNHA_01416	428	258
IABCJNHA_01417	170	101
IABCJNHA_01418	1251	714
IABCJNHA_01419	35	39
IABCJNHA_01420	180	89
IABCJNHA_01421	8	6
IABCJNHA_01422	160	132
IABCJNHA_01423	393	260
IABCJNHA_01424	35	31
IABCJNHA_01425	38	12
IABCJNHA_01426	27	7
IABCJNHA_01427	43	51
IABCJNHA_01428	110	168
IABCJNHA_01429	23	12
IABCJNHA_01430	10	6
IABCJNHA_01431	13	9
IABCJNHA_01432	15	14
IABCJNHA_01433	10	16
IABCJNHA_01434	25	14
IABCJNHA_01435	201	185
IABCJNHA_01436	4	6
IABCJNHA_01437	32	17
IABCJNHA_01438	4	9
IABCJNHA_01439	6	2
IABCJNHA_01440	52	14
IABCJNHA_01441	110	28
IABCJNHA_01442	16	2
IABCJNHA_01443	17	23
IABCJNHA_01444	21	23
IABCJNHA_01445	22	11
IABCJNHA_01446	27	6
IABCJNHA_01447	34	19
IABCJNHA_01448	65	28
IABCJNHA_01449	305	192
IABCJNHA_01450	12	14
IABCJNHA_01451	0	0
IABCJNHA_01452	4	17
IABCJNHA_01453	0	0
IABCJNHA_01454	0	0
IABCJNHA_01455	0	0
IABCJNHA_01456	0	0
IABCJNHA_01457	0	0
IABCJNHA_01458	19	9
IABCJNHA_01459	26	11
IABCJNHA_01460	13	8
IABCJNHA_01461	7	17
IABCJNHA_01462	82	66
IABCJNHA_01463	146	118
IABCJNHA_01464	0	0
IABCJNHA_01465	0	0
IABCJNHA_01466	88	16
IABCJNHA_01467	103	7
IABCJNHA_01468	13	13
IABCJNHA_01469	10	4
IABCJNHA_01470	7	5
IABCJNHA_01471	0	6
IABCJNHA_01472	877	612
IABCJNHA_01473	24	8
IABCJNHA_01474	156	63
IABCJNHA_01475	60	28
IABCJNHA_01476	37	18
IABCJNHA_01477	23	0
IABCJNHA_01478	45	21
IABCJNHA_01479	1	3
IABCJNHA_01480	16	21
IABCJNHA_01481	6	7
IABCJNHA_01482	19	18
IABCJNHA_01483	21	19
IABCJNHA_01484	16	11
IABCJNHA_01485	35	44
IABCJNHA_01486	7	17
IABCJNHA_01487	13	22
IABCJNHA_01488	2	25
IABCJNHA_01489	107	4
IABCJNHA_01490	361	6
IABCJNHA_01491	23	2
IABCJNHA_01492	4	0
IABCJNHA_01493	4	0
IABCJNHA_01494	214	141
IABCJNHA_01495	3	2
IABCJNHA_01496	2	6
IABCJNHA_01497	6	4
IABCJNHA_01498	16	16
IABCJNHA_01499	33	15
IABCJNHA_01500	5	1
IABCJNHA_01501	2	2
IABCJNHA_01502	4	5
IABCJNHA_01503	2	2
IABCJNHA_01504	0	0
IABCJNHA_01505	34	4
IABCJNHA_01506	36	24
IABCJNHA_01507	23	20
IABCJNHA_01508	29	24
IABCJNHA_01509	9	9
IABCJNHA_01510	32	10
IABCJNHA_01511	9	2
IABCJNHA_01512	0	2
IABCJNHA_01513	0	0
IABCJNHA_01514	4	2
IABCJNHA_01515	5	0
IABCJNHA_01516	14	3
IABCJNHA_01517	0	0
IABCJNHA_01518	0	0
IABCJNHA_01519	0	0
IABCJNHA_01520	0	0
IABCJNHA_01521	0	0
IABCJNHA_01522	0	0
IABCJNHA_01523	0	2
IABCJNHA_01524	0	0
IABCJNHA_01525	0	0
IABCJNHA_01526	0	2
IABCJNHA_01527	0	0
IABCJNHA_01528	2	0
IABCJNHA_01529	0	2
IABCJNHA_01530	674	461
IABCJNHA_01531	0	0
IABCJNHA_01532	33	25
IABCJNHA_01533	12	14
IABCJNHA_01534	2	13
IABCJNHA_01535	6	24
IABCJNHA_01536	2	18
IABCJNHA_01537	41	25
IABCJNHA_01538	1	24
IABCJNHA_01539	0	10
IABCJNHA_01540	2	1
IABCJNHA_01541	11	7
IABCJNHA_01542	5	2
IABCJNHA_01543	0	2
IABCJNHA_01544	0	0
IABCJNHA_01545	0	0
IABCJNHA_01546	0	0
IABCJNHA_01547	0	0
IABCJNHA_01548	16	18
IABCJNHA_01549	1	0
IABCJNHA_01550	12	6
IABCJNHA_01551	3	1
IABCJNHA_01552	0	2
IABCJNHA_01553	0	0
IABCJNHA_01554	0	0
IABCJNHA_01555	2	2
IABCJNHA_01556	0	0
IABCJNHA_01557	0	0
IABCJNHA_01558	0	2
IABCJNHA_01559	0	0
IABCJNHA_01560	0	0
IABCJNHA_01561	4	2
IABCJNHA_01562	0	0
IABCJNHA_01563	0	2
IABCJNHA_01564	17	36
IABCJNHA_01565	12	17
IABCJNHA_01566	0	0
IABCJNHA_01567	58	50
IABCJNHA_01568	110	114
IABCJNHA_01569	14	8
IABCJNHA_01570	41	42
IABCJNHA_01571	27	26
IABCJNHA_01572	4	2
IABCJNHA_01573	8	10
IABCJNHA_01574	11	5
IABCJNHA_01575	28	35
IABCJNHA_01576	8	25
IABCJNHA_01577	14	12
IABCJNHA_01578	0	8
IABCJNHA_01579	2	0
IABCJNHA_01580	82	94
IABCJNHA_01581	0	4
IABCJNHA_01582	4	0
IABCJNHA_01583	2	0
IABCJNHA_01584	10	7
IABCJNHA_01585	4	3
IABCJNHA_01586	149	159
IABCJNHA_01587	419	567
IABCJNHA_01588	411	584
IABCJNHA_01589	279	311
IABCJNHA_01590	245	299
IABCJNHA_01591	261	262
IABCJNHA_01592	635	711
IABCJNHA_01593	719	708
IABCJNHA_01594	0	0
IABCJNHA_01595	2	2
IABCJNHA_01596	28	13
IABCJNHA_01597	22	35
IABCJNHA_01598	2	12
IABCJNHA_01599	70	209
IABCJNHA_01600	1417	1093
IABCJNHA_01601	0	23
IABCJNHA_01602	0	66
IABCJNHA_01603	0	29
IABCJNHA_01604	558	409
IABCJNHA_01605	133	284
IABCJNHA_01606	242	431
IABCJNHA_01607	723	513
IABCJNHA_01608	3582	1948
IABCJNHA_01609	278	130
IABCJNHA_01610	275	110
IABCJNHA_01611	261	114
IABCJNHA_01612	947	500
IABCJNHA_01613	0	2
IABCJNHA_01614	3113	2508
IABCJNHA_01615	5420	4551
IABCJNHA_01616	1426	1556
IABCJNHA_01617	871	1463
IABCJNHA_01618	500	782
IABCJNHA_01619	1	46
IABCJNHA_01620	39	320
IABCJNHA_01621	618	383
IABCJNHA_01622	8	17
IABCJNHA_01623	495	670
IABCJNHA_01624	232	323
IABCJNHA_01625	65	103
IABCJNHA_01626	232	221
IABCJNHA_01627	740	724
IABCJNHA_01628	149	127
IABCJNHA_01629	527	389
IABCJNHA_01630	349	152
IABCJNHA_01631	696	286
IABCJNHA_01632	207	207
IABCJNHA_01633	321	264
IABCJNHA_01634	445	607
IABCJNHA_01635	1582	2244
IABCJNHA_01636	2774	4153
IABCJNHA_01637	18	12
IABCJNHA_01638	116	39
IABCJNHA_01639	184	79
IABCJNHA_01640	160	155
IABCJNHA_01641	3	0
IABCJNHA_01642	454	531
IABCJNHA_01643	414	569
IABCJNHA_01644	0	2
IABCJNHA_01645	157	134
IABCJNHA_01646	52	71
IABCJNHA_01647	63	37
IABCJNHA_01648	0	11
IABCJNHA_01649	446	164
IABCJNHA_01650	0	3
IABCJNHA_01651	5982	3550
IABCJNHA_01652	70	47
IABCJNHA_01653	31	34
IABCJNHA_01654	3870	3077
IABCJNHA_01655	2	6
IABCJNHA_01656	867	853
IABCJNHA_01657	2	3
IABCJNHA_01658	2	3
IABCJNHA_01659	0	2
IABCJNHA_01660	0	7
IABCJNHA_01661	4	9
IABCJNHA_01662	403	191
IABCJNHA_01663	309	169
IABCJNHA_01664	31	12
IABCJNHA_01665	23	14
IABCJNHA_01666	613	541
IABCJNHA_01667	97	120
IABCJNHA_01668	24	17
IABCJNHA_01669	97	54
IABCJNHA_01670	17	25
IABCJNHA_01671	74	31
IABCJNHA_01672	775	401
IABCJNHA_01673	49	88
IABCJNHA_01674	297	323
IABCJNHA_01675	55	48
IABCJNHA_01676	26	10
IABCJNHA_01677	339	186
IABCJNHA_01678	59	28
IABCJNHA_01679	5	12
IABCJNHA_01681	2	8
IABCJNHA_01682	0	0
IABCJNHA_01683	0	0
IABCJNHA_01684	0	0
IABCJNHA_01685	58	45
IABCJNHA_01686	20	11
IABCJNHA_01687	9	4
IABCJNHA_01688	10	2
IABCJNHA_01689	6	12
IABCJNHA_01690	2	5
IABCJNHA_01691	1	18
IABCJNHA_01692	2	6
IABCJNHA_01693	4	0
IABCJNHA_01694	0	0
IABCJNHA_01695	6	4
IABCJNHA_01696	46	16
IABCJNHA_01697	131	100
IABCJNHA_01698	25	21
IABCJNHA_01699	29	22
IABCJNHA_01700	0	4
IABCJNHA_01701	1207	456
IABCJNHA_01702	1126	304
IABCJNHA_01703	1114	350
IABCJNHA_01704	105	84
IABCJNHA_01705	265	198
IABCJNHA_01706	353	253
IABCJNHA_01707	1	6
IABCJNHA_01708	77	67
IABCJNHA_01709	103	58
IABCJNHA_01710	0	0
IABCJNHA_01711	350	257
IABCJNHA_01712	1729	1132
IABCJNHA_01713	829	478
IABCJNHA_01714	0	0
IABCJNHA_01715	2	0
IABCJNHA_01716	0	0
IABCJNHA_01717	0	0
IABCJNHA_01718	0	0
IABCJNHA_01719	2	0
IABCJNHA_01720	2	0
IABCJNHA_01721	0	1
IABCJNHA_01722	4	1
IABCJNHA_01723	596	164
IABCJNHA_01724	1771	535
IABCJNHA_01725	433	140
IABCJNHA_01726	470	223
IABCJNHA_01727	745	420
IABCJNHA_01728	146	230
IABCJNHA_01729	28	42
IABCJNHA_01730	87	134
IABCJNHA_01731	893	714
IABCJNHA_01732	643	612
IABCJNHA_01733	41	170
IABCJNHA_01734	381	1003
IABCJNHA_01735	0	91
IABCJNHA_01736	217	161
IABCJNHA_01737	1	3
IABCJNHA_01738	116	82
IABCJNHA_01739	0	2
IABCJNHA_01740	0	2
IABCJNHA_01741	53	23
IABCJNHA_01742	0	0
IABCJNHA_01743	0	0
IABCJNHA_01744	0	0
IABCJNHA_01745	0	3
IABCJNHA_01746	13	7
IABCJNHA_01747	14	4
IABCJNHA_01748	9	8
IABCJNHA_01749	189	39
IABCJNHA_01750	178	224
IABCJNHA_01751	325	281
IABCJNHA_01752	377	458
IABCJNHA_01753	479	585
IABCJNHA_01754	465	732
IABCJNHA_01755	450	724
IABCJNHA_01756	1013	1437
IABCJNHA_01757	21	21
IABCJNHA_01758	43	21
IABCJNHA_01759	0	0
IABCJNHA_01760	307	158
IABCJNHA_01761	14	2
IABCJNHA_01762	12	6
IABCJNHA_01763	21	2
IABCJNHA_01764	82	28
IABCJNHA_01765	0	2
IABCJNHA_01766	0	2
IABCJNHA_01767	0	4
IABCJNHA_01768	376	215
IABCJNHA_01769	600	377
IABCJNHA_01770	0	5
IABCJNHA_01771	128	59
IABCJNHA_01772	52	23
IABCJNHA_01773	47	36
IABCJNHA_01774	2905	1344
IABCJNHA_01775	1233	494
IABCJNHA_01776	77	16
IABCJNHA_01777	133	129
IABCJNHA_01778	178	187
IABCJNHA_01779	68	31
IABCJNHA_01780	8	0
IABCJNHA_01781	20	5
IABCJNHA_01782	31	18
IABCJNHA_01783	49	33
IABCJNHA_01784	116	47
IABCJNHA_01785	100	44
IABCJNHA_01786	3	0
IABCJNHA_01787	46	10
IABCJNHA_01788	12	4
IABCJNHA_01789	0	1
IABCJNHA_01790	0	0
IABCJNHA_01791	29	18
IABCJNHA_01792	44	18
IABCJNHA_01793	145	51
IABCJNHA_01794	152	37
IABCJNHA_01795	90	36
IABCJNHA_01796	24	16
IABCJNHA_01797	25	44
IABCJNHA_01798	238	66
IABCJNHA_01799	0	0
IABCJNHA_01800	133	116
IABCJNHA_01801	288	242
IABCJNHA_01802	14	20
IABCJNHA_01803	137	96
IABCJNHA_01804	110	130
IABCJNHA_01805	226	93
IABCJNHA_01806	338	104
IABCJNHA_01807	0	0
IABCJNHA_01808	0	0
IABCJNHA_01809	146	169
IABCJNHA_01810	33	43
IABCJNHA_01811	176	90
IABCJNHA_01812	294	92
IABCJNHA_01813	363	117
IABCJNHA_01814	4	0
IABCJNHA_01815	31	22
IABCJNHA_01816	56	32
IABCJNHA_01817	103	98
IABCJNHA_01818	0	0
IABCJNHA_01819	0	0
IABCJNHA_01820	2	0
IABCJNHA_01821	0	2
IABCJNHA_01822	0	1
IABCJNHA_01823	4	9
IABCJNHA_01824	18	20
IABCJNHA_01825	330	186
IABCJNHA_01826	490	325
IABCJNHA_01827	590	280
IABCJNHA_01828	0	2
IABCJNHA_01829	1	0
IABCJNHA_01830	0	0
IABCJNHA_01831	21	2
IABCJNHA_01832	68	12
IABCJNHA_01833	42	22
IABCJNHA_01834	175	55
IABCJNHA_01835	108	30
IABCJNHA_01836	278	146
IABCJNHA_01837	106	46
IABCJNHA_01838	232	62
IABCJNHA_01839	0	2
IABCJNHA_01840	85	39
IABCJNHA_01841	64	43
IABCJNHA_01842	49	50
IABCJNHA_01843	2	3
IABCJNHA_01844	4	0
IABCJNHA_01845	0	0
IABCJNHA_01846	107	37
IABCJNHA_01847	767	87
IABCJNHA_01848	1866	254
IABCJNHA_01849	662	108
IABCJNHA_01850	966	194
IABCJNHA_01851	1046	305
IABCJNHA_01852	273	136
IABCJNHA_01853	240	177
IABCJNHA_01854	58	145
IABCJNHA_01855	1617	758
IABCJNHA_01856	36	12
