Geneid,MM227,MM228,MM229,MM230,MM231,MM232,MM233,MM234,MM235,MM236,MM237,MM238
FGBKPADF_00001,22566.47,36897.1,73426.25,91854.11,22886.29,39128.1,74504.47,92882.83,22664.18,39921.65,76554.6,90686.51
FGBKPADF_00002,18006.34,31578.44,63132.15,74409.35,18132.96,33940.21,65103.44,75846.63,18297.38,34924.13,67136.69,73928.55
FGBKPADF_00003,995.52,2162.35,4632.28,5047.12,1042.8,2361.37,4430.15,4546.02,926.83,2520.81,4811.95,5311.55
FGBKPADF_00004,7744.08,16634.28,31607.83,36315.13,7776.25,17935.64,31780.79,36803.66,7649.74,18692.79,32494.1,37019.57
FGBKPADF_00005,1279.84,4163.24,8095.4,9446.24,1373.71,4567.43,8167.3,9655.06,1311.73,4641.4,8250.1,9041.0
FGBKPADF_00006,6207.33,18036.36,31108.06,38014.69,6146.78,18748.52,31428.29,36894.76,6307.42,19506.78,32280.85,36211.63
FGBKPADF_00007,8022.92,19235.6,27455.74,34730.45,8876.74,20252.31,26633.66,31559.79,9201.43,20974.49,27789.5,35898.28
FGBKPADF_00008,2938.79,4192.45,6085.91,5406.47,2800.54,4193.19,6136.27,5316.75,2687.88,4578.66,6085.66,5349.95
FGBKPADF_00009,8204.64,11813.82,17345.62,17537.54,7454.46,11777.29,17678.64,15990.34,7251.15,13330.68,18217.82,17711.82
FGBKPADF_00010,11607.89,17055.39,25879.46,24161.98,10990.43,17073.51,24606.22,23992.8,10635.56,17526.08,25751.28,24788.26
FGBKPADF_00011,4869.52,8520.39,11497.2,16603.81,4584.09,9062.14,13858.76,19186.22,4874.1,9082.7,12954.7,16839.37
FGBKPADF_00012,7624.24,13134.76,17405.64,26097.18,6026.1,12070.47,24187.79,34068.76,6467.66,11703.56,19964.46,25295.15
FGBKPADF_00013,1824.21,2790.37,4791.48,6812.95,1493.62,3060.61,6078.72,8908.02,1640.27,3593.4,5699.78,6680.14
FGBKPADF_00014,9715.54,12774.51,17477.41,21631.79,8854.73,11932.6,21246.74,27926.62,9438.17,11857.87,18493.45,20492.02
FGBKPADF_00015,466.82,219.89,150.06,91.31,549.48,281.82,151.07,60.13,554.81,248.43,132.01,79.87
FGBKPADF_00016,4771.61,3557.94,4015.08,4170.84,5084.24,3714.4,3479.38,3562.11,5116.47,4030.91,3638.34,3949.1
FGBKPADF_00017,6428.99,5142.58,5623.98,5655.37,6401.03,5040.92,4950.5,5016.11,6497.45,5067.05,5071.63,4952.12
FGBKPADF_00018,43.08,109.54,183.99,148.75,46.3,127.27,128.29,165.81,55.56,117.01,165.38,175.11
FGBKPADF_00019,39.95,218.26,416.25,459.5,47.81,310.61,375.27,460.98,55.56,341.7,403.29,683.53
FGBKPADF_00020,737.05,764.33,990.4,1290.13,694.44,771.97,902.82,1402.98,719.08,742.76,947.3,1245.71
FGBKPADF_00021,1626.83,2140.44,2946.39,3818.85,1983.15,2804.55,3209.61,4649.88,1858.49,2647.99,2994.23,3946.03
FGBKPADF_00022,7636.77,10823.12,11809.06,12578.78,7188.06,10568.96,11821.73,14193.8,7175.46,11006.58,11640.37,12483.22
FGBKPADF_00023,12130.33,11025.15,12021.75,13550.8,11780.5,10843.2,12087.9,13382.98,11926.35,11873.14,13131.69,13235.87
FGBKPADF_00024,22562.55,20769.93,23098.78,23920.45,22907.54,21001.55,20985.37,25248.2,23947.73,21684.18,23653.57,24550.18
FGBKPADF_00025,6126.65,5897.99,7429.92,7466.86,6445.05,6305.31,6377.26,7479.53,6498.26,6321.09,7391.29,7248.47
FGBKPADF_00026,313.3,2739.25,4530.5,6466.86,295.23,3051.52,4890.55,7953.26,295.52,3010.04,4942.52,6415.95
FGBKPADF_00027,221.66,828.43,1350.54,2723.12,195.81,925.0,1914.74,3461.9,221.44,841.96,1543.54,2634.27
FGBKPADF_00028,199.73,697.79,1500.6,2144.33,279.3,943.94,1522.68,2426.98,232.71,967.45,1518.88,2343.96
FGBKPADF_00029,332.1,964.74,2005.58,2755.52,414.39,1199.24,2076.6,3004.57,394.57,1153.99,1933.78,3084.32
FGBKPADF_00030,289.02,460.06,538.91,727.54,248.18,403.79,461.6,652.3,219.83,410.38,541.11,603.66
FGBKPADF_00031,2682.66,2399.28,2690.64,3019.14,2527.32,2187.12,2474.65,2532.65,2295.73,2474.17,2693.94,3199.53
FGBKPADF_00032,3393.86,3214.72,2395.74,2094.25,3425.16,3109.85,2278.02,1993.33,3425.48,2869.29,2357.38,1966.1
FGBKPADF_00033,85.38,60.85,32.62,42.71,91.07,66.67,38.37,51.02,82.13,81.4,44.97,36.86
FGBKPADF_00034,41.51,12.98,22.18,16.2,41.74,11.36,11.99,14.58,34.63,11.02,14.51,16.9
FGBKPADF_00035,51.7,34.08,43.06,54.49,38.71,39.39,51.56,54.66,68.45,33.07,29.01,66.05
FGBKPADF_00036,1706.72,1244.67,795.97,767.3,1543.71,1121.97,1076.66,967.51,1623.36,1199.78,902.33,763.4
FGBKPADF_00037,629.74,473.04,465.84,453.61,555.56,405.3,368.08,306.11,595.87,500.26,355.42,423.94
FGBKPADF_00038,473.09,368.37,339.27,324.01,454.61,344.7,257.78,304.28,493.61,356.12,281.43,290.31
FGBKPADF_00039,318.79,285.61,411.03,488.95,455.37,344.7,280.56,442.76,406.64,286.59,301.74,485.38
FGBKPADF_00040,94.77,99.8,52.19,55.96,80.45,71.21,45.56,56.48,86.16,68.68,50.77,78.34
FGBKPADF_00041,146.47,136.31,96.56,141.38,132.06,132.58,63.54,71.06,107.1,92.42,91.39,96.77
FGBKPADF_00042,1088.73,712.4,578.06,544.92,1259.11,778.03,410.04,542.97,1203.83,717.32,456.97,459.27
FGBKPADF_00043,2015.32,1512.43,912.1,1026.51,2084.09,1295.46,736.16,907.38,1972.83,1289.66,819.64,906.25
FGBKPADF_00044,125.32,91.69,44.37,86.89,92.59,71.21,73.14,105.68,96.63,86.49,66.73,119.81
FGBKPADF_00045,84.59,93.31,76.99,132.55,88.8,96.21,71.94,56.48,89.38,85.64,71.08,99.84
FGBKPADF_00046,392.41,345.65,292.29,503.68,367.33,368.18,297.34,346.19,376.85,265.39,310.45,451.59
FGBKPADF_00047,3312.4,2355.46,1253.98,1139.91,2439.28,2855.31,1550.25,1064.08,4433.63,1516.04,913.94,878.6
FGBKPADF_00048,919.55,728.63,721.59,948.45,883.42,570.46,609.07,781.66,864.82,574.03,538.21,881.67
FGBKPADF_00049,147.25,135.5,87.43,100.15,111.57,131.06,101.91,111.15,161.85,94.96,98.65,101.38
FGBKPADF_00050,195.81,187.43,194.43,217.97,220.86,250.76,236.19,298.82,274.59,200.95,172.63,211.97
FGBKPADF_00051,2406.95,3808.66,7560.41,11122.23,2221.46,3414.4,6515.14,7071.39,1959.14,4142.84,7640.81,9511.02
FGBKPADF_00052,1314.31,2230.51,4137.74,4603.82,1191.56,1882.58,4092.04,2417.87,1059.69,2472.47,4360.79,5128.76
FGBKPADF_00053,1431.01,2433.36,4419.59,4583.21,1325.89,2140.16,4273.09,2470.7,1046.0,2664.95,4545.03,5204.03
FGBKPADF_00054,1781.91,3661.8,6598.72,9101.61,1770.64,3178.04,5541.59,5336.8,1351.19,3600.18,5981.21,7749.21
FGBKPADF_00055,8168.61,8051.41,12114.4,16182.61,7864.29,6594.71,9106.09,10932.32,6590.05,7946.51,11595.4,14172.84
FGBKPADF_00056,25.06,53.55,86.12,209.13,37.95,78.03,85.13,145.76,62.0,61.9,97.2,250.37
FGBKPADF_00057,20.36,33.27,66.55,86.89,19.73,31.82,34.77,69.24,27.38,34.76,24.66,95.23
FGBKPADF_00058,3.13,10.55,18.27,38.29,6.07,26.52,29.97,49.2,5.64,25.44,56.58,66.05
FGBKPADF_00059,20.36,140.37,199.64,354.93,21.25,164.39,338.11,564.84,20.94,151.77,320.6,470.02
FGBKPADF_00060,10581.04,10623.51,13357.94,14403.52,10727.07,10347.74,12363.66,12471.96,10381.11,9699.12,12918.43,12518.55
FGBKPADF_00061,414.34,496.57,1384.47,3103.09,455.37,593.18,1544.26,3263.3,396.98,569.79,1260.65,2895.39
FGBKPADF_00062,13.32,18.66,24.79,38.29,25.8,100.0,131.89,112.97,103.07,36.46,15.96,49.15
FGBKPADF_00063,19.58,48.68,152.67,366.72,15.94,46.21,190.63,384.45,22.55,46.63,159.58,397.83
FGBKPADF_00064,1600.2,2695.43,3898.95,5200.29,1568.76,2726.52,4333.04,5072.6,1604.84,2847.25,4079.35,5353.02
FGBKPADF_00065,5991.15,10414.99,16708.84,19241.51,6843.5,11409.87,17954.4,21308.92,6901.68,11365.24,18452.83,21043.45
FGBKPADF_00066,3190.21,4585.97,9303.71,8967.59,3638.43,5681.07,8200.88,8988.19,3719.39,5883.57,9645.67,9103.98
FGBKPADF_00067,1656.59,2139.63,2584.94,3164.95,1513.36,1834.09,2426.69,2503.5,1313.34,1973.06,2440.07,3377.7
FGBKPADF_00068,4753.6,5039.54,5387.8,6306.33,4565.12,4163.64,4787.44,5140.01,4385.32,4305.63,4996.19,5942.85
FGBKPADF_00069,476.22,468.17,558.48,692.19,406.8,400.76,429.23,528.4,395.37,432.43,507.74,631.3
FGBKPADF_00070,12.53,12.17,28.71,54.49,13.66,21.97,38.37,32.8,7.25,18.65,43.52,35.33
FGBKPADF_00071,3.92,8.93,6.52,38.29,3.04,11.36,8.39,9.11,6.44,5.94,14.51,16.9
FGBKPADF_00072,1751.37,2810.65,2691.94,2615.61,1797.21,2592.43,2583.76,2532.65,1745.75,2848.09,2624.31,2766.37
FGBKPADF_00073,64.23,91.69,96.56,70.69,62.99,95.45,95.92,69.24,67.64,74.62,114.6,47.62
FGBKPADF_00074,11485.71,10123.7,12298.39,16680.4,11113.38,10221.99,11987.19,15791.74,10604.16,10217.19,12412.14,16056.0
FGBKPADF_00079,2427.32,5000.59,6833.6,8949.92,2218.43,4785.61,8896.27,10017.65,2333.57,5390.94,8445.94,8882.79
FGBKPADF_00080,4358.84,10057.98,17104.22,17985.25,4785.97,11554.56,22761.03,23573.73,4717.07,12208.9,22345.05,19054.3
FGBKPADF_00081,4697.99,9456.74,15790.21,16882.16,4168.18,9763.65,23167.47,20849.76,4398.2,10256.19,20495.41,19018.98
FGBKPADF_00082,4487.29,7908.61,12898.62,14340.19,3926.07,7803.04,19739.65,17446.16,4185.62,8239.89,17697.02,15596.73
FGBKPADF_00083,2487.63,4472.38,7642.61,8045.65,2038.55,4388.64,11854.1,11307.66,2133.88,4596.46,9702.24,9096.3
FGBKPADF_00084,1886.87,3370.51,6472.15,6864.5,1618.09,3595.46,9893.8,10449.48,1624.16,3806.22,8625.83,8613.99
FGBKPADF_00085,1712.99,1491.33,1367.5,1652.43,1658.32,1416.67,1384.8,1481.33,1772.33,1240.48,1251.95,1459.22
FGBKPADF_00086,44478.92,42137.05,51522.73,48014.68,40026.53,43906.13,59823.23,63782.81,43738.82,42185.54,56085.3,43258.88
FGBKPADF_00087,60456.61,59973.0,67864.9,63016.14,48813.72,53723.57,82689.76,78461.27,56291.65,53082.75,73437.05,60589.77
FGBKPADF_00088,47478.8,47430.55,55929.27,51434.41,37275.32,42337.95,64796.5,61548.97,43090.61,41673.41,58333.87,46845.48
FGBKPADF_00089,256.13,201.22,255.75,378.5,300.55,210.61,260.17,433.65,248.01,211.97,278.53,258.05
FGBKPADF_00090,2329.41,2136.39,2168.69,2434.46,2867.33,2145.46,1917.13,2375.96,2493.82,2195.21,2100.61,2058.26
FGBKPADF_00091,142.55,213.4,208.78,301.91,227.69,225.76,223.01,253.27,222.25,211.13,168.28,253.44
FGBKPADF_00092,45.43,24.34,6.52,14.73,44.02,41.67,35.97,9.11,56.37,23.74,14.51,9.22
FGBKPADF_00093,122.19,98.99,60.02,85.42,113.84,112.12,56.35,81.99,99.04,80.55,82.69,82.94
FGBKPADF_00094,28.2,27.59,24.79,23.56,48.57,37.88,19.18,20.04,36.24,46.63,42.07,30.72
FGBKPADF_00095,54.83,56.8,70.46,47.13,66.79,55.3,49.16,56.48,56.37,56.81,68.18,46.08
FGBKPADF_00096,1112.23,1284.43,1526.7,801.18,1527.78,1457.58,1172.58,670.52,1356.82,1553.35,1441.99,829.45
FGBKPADF_00097,103.39,94.12,57.41,64.8,112.33,98.49,64.74,69.24,143.33,101.75,69.63,79.87
FGBKPADF_00098,359.52,251.53,199.64,235.64,389.34,248.49,202.62,227.76,380.88,230.63,204.55,259.59
FGBKPADF_00099,1106.74,783.8,700.71,759.94,1152.85,694.7,574.3,666.87,1017.01,718.17,515.0,638.98
FGBKPADF_00100,5406.05,3521.43,3277.83,4664.21,5962.35,4097.73,2937.45,4442.17,5397.5,3806.22,2801.29,3508.27
FGBKPADF_00101,1387.93,961.5,824.68,1175.26,1413.17,981.06,878.84,1118.74,1303.68,1022.57,919.74,926.22
FGBKPADF_00102,5631.63,4063.44,3738.45,4232.69,5724.8,4334.1,3594.48,3758.9,5363.68,4724.5,3726.83,3303.97
FGBKPADF_00103,3955.46,3446.78,3059.92,4596.46,3737.85,3178.04,3500.96,5595.53,3939.22,2927.8,3126.25,4306.99
FGBKPADF_00104,494.24,443.02,657.65,998.53,414.39,361.36,622.26,686.91,326.93,480.76,721.0,692.74
FGBKPADF_00105,795.01,455.19,576.75,346.1,673.95,324.24,462.8,233.22,559.64,433.28,525.15,337.92
FGBKPADF_00106,538.88,366.75,521.95,671.58,552.52,315.15,442.42,380.81,425.97,368.84,451.17,619.02
FGBKPADF_00107,1293.16,1031.28,1357.06,2050.07,1276.56,911.37,1170.18,1206.2,1064.52,1009.85,1195.37,1637.4
FGBKPADF_00108,1617.43,1481.6,1869.88,2063.33,1530.81,1211.37,1445.94,1357.43,1324.61,1388.01,1672.65,1783.32
FGBKPADF_00109,205.21,124.14,147.45,148.75,194.29,121.21,118.7,116.61,190.04,118.71,149.42,132.1
FGBKPADF_00110,1078.55,653.17,588.5,684.83,1146.02,719.7,586.29,508.35,1167.59,670.69,565.77,620.55
FGBKPADF_00111,205.21,165.52,140.93,69.22,219.34,178.79,140.28,72.88,181.18,141.6,137.82,47.62
FGBKPADF_00112,1475.66,1053.99,938.2,552.28,1247.72,1130.3,1007.13,635.9,1356.82,1035.29,919.74,522.25
FGBKPADF_00113,30547.09,37503.21,50507.54,78089.76,31070.11,36729.61,51737.45,80968.42,31851.12,39156.85,55860.44,86049.27
FGBKPADF_00114,15174.86,18316.29,25885.98,41413.8,15968.42,18852.3,25560.59,41619.35,16272.21,19665.33,28294.34,43049.98
FGBKPADF_00115,4814.69,3278.01,2292.65,4827.68,4170.46,2706.82,2373.94,4688.14,3952.9,2846.4,2437.17,4790.84
FGBKPADF_00116,1857.11,694.55,424.08,1764.36,1631.75,681.06,464.0,1581.54,1602.42,571.48,451.17,1674.26
FGBKPADF_00117,1670.69,623.96,493.24,2138.44,1532.33,624.24,505.96,2117.23,1655.57,557.07,536.76,2088.98
FGBKPADF_00118,398.68,119.27,138.32,830.63,348.36,121.97,177.45,803.53,362.36,125.49,146.52,830.99
FGBKPADF_00119,297.64,248.28,292.29,247.42,330.9,255.3,242.19,327.97,310.82,262.0,237.91,211.97
FGBKPADF_00120,1076.98,1005.31,949.94,1007.36,1029.9,958.33,877.64,885.52,1037.95,804.66,842.85,936.97
FGBKPADF_00121,32.9,57.61,79.6,111.93,39.47,50.76,76.73,103.86,45.9,49.18,72.53,118.27
FGBKPADF_00122,38.38,89.25,82.21,122.24,75.14,78.79,87.52,142.12,57.17,78.85,95.75,142.85
FGBKPADF_00123,365.78,499.0,506.29,727.54,394.66,500.76,520.35,579.41,368.8,482.45,536.76,748.04
FGBKPADF_00124,108.09,148.48,126.57,181.15,134.34,157.58,161.86,202.25,115.95,154.32,159.58,231.94
FGBKPADF_00125,1287.68,1720.96,1654.57,1949.92,1333.48,1559.09,1451.94,1601.59,1302.87,1714.45,1613.17,1923.09
FGBKPADF_00126,108.87,134.69,142.23,131.07,124.47,124.24,123.49,105.68,97.43,124.64,143.62,95.23
FGBKPADF_00127,92.42,107.91,90.04,73.64,85.0,110.61,101.91,83.81,106.29,89.03,66.73,72.19
FGBKPADF_00128,1035.47,529.03,366.67,287.19,917.58,357.58,224.21,204.07,1143.44,425.65,288.69,285.7
FGBKPADF_00129,499.72,318.88,268.8,83.95,403.76,225.76,185.84,60.13,315.65,301.85,211.8,75.26
FGBKPADF_00130,6907.56,4086.97,2789.81,1739.32,7178.96,3046.97,1601.81,1461.29,6167.3,3137.23,2044.03,1363.98
FGBKPADF_00131,273.36,266.95,215.3,157.58,247.42,199.24,164.26,96.57,205.34,234.02,168.28,196.61
FGBKPADF_00132,649.32,507.12,478.89,453.61,547.97,448.49,393.26,258.73,457.37,513.83,481.63,345.6
FGBKPADF_00133,143.34,72.21,66.55,39.76,132.06,63.64,44.36,27.33,79.72,67.83,49.32,36.86
FGBKPADF_00134,72.84,37.32,18.27,19.15,50.85,20.45,13.19,1.82,41.87,15.26,27.56,12.29
FGBKPADF_00135,284.32,129.01,84.82,55.96,211.75,66.67,39.57,45.55,185.2,89.03,91.39,64.51
FGBKPADF_00136,1093.43,1326.62,2111.28,2055.96,1093.65,990.91,1466.33,1229.89,811.68,1241.32,1848.18,1534.48
FGBKPADF_00137,362.65,442.21,571.53,412.37,352.91,330.3,358.49,205.89,258.48,360.36,419.25,357.89
FGBKPADF_00138,383.8,468.98,335.35,189.99,469.79,455.3,345.3,202.25,347.86,387.49,261.12,202.75
FGBKPADF_00139,366.57,387.84,266.19,241.53,437.16,321.21,262.57,293.35,409.06,354.42,232.11,247.3
FGBKPADF_00140,13.32,12.17,2.61,32.4,9.87,10.61,11.99,40.09,20.94,13.57,8.7,15.36
FGBKPADF_00141,375.96,382.16,379.72,375.55,366.58,362.88,296.14,258.73,308.41,328.98,314.8,314.88
FGBKPADF_00142,19133.45,15813.97,13788.55,7362.29,18983.74,15111.39,11193.48,6355.32,17997.84,14515.19,11431.47,6345.29
FGBKPADF_00143,78.33,369.99,438.44,625.92,81.21,353.03,387.26,646.83,72.47,299.31,381.53,695.82
FGBKPADF_00144,647.76,541.2,549.35,845.36,569.98,468.94,417.24,668.69,542.73,469.74,435.21,701.96
FGBKPADF_00145,1570.43,1211.4,1145.67,1835.05,1360.81,1081.82,955.57,1390.23,1450.23,1053.94,918.29,1534.48
FGBKPADF_00146,10706.36,9498.12,9161.48,7332.84,9537.03,9088.65,8498.22,6894.65,10070.28,8615.51,8400.97,5973.57
FGBKPADF_00147,5448.35,3994.47,3160.39,1397.64,4663.02,4087.89,2949.44,1065.9,4889.39,3532.35,2634.46,1264.14
FGBKPADF_00148,17930.36,7602.71,3772.37,1101.62,14444.43,9444.71,4480.51,1187.98,17050.88,7655.68,3374.32,881.67
FGBKPADF_00149,9080.32,3588.77,1162.64,197.35,8101.85,4947.74,1721.7,326.15,9720.81,3752.8,1250.5,182.79
FGBKPADF_00150,12765.55,5330.01,1755.05,228.28,10189.73,6754.56,2719.24,491.95,12784.74,5266.3,1885.9,256.52
FGBKPADF_00151,24758.03,10987.02,3859.8,612.67,21690.94,14362.15,5548.78,856.37,27249.2,11115.11,4060.49,531.46
FGBKPADF_00152,8955.0,3719.41,1234.41,229.75,7008.19,4668.95,1935.12,282.42,9120.91,3720.58,1394.12,199.68
FGBKPADF_00153,16861.21,8927.71,3229.55,524.3,13076.04,10121.99,4745.48,697.85,16773.88,7845.61,3355.46,491.53
FGBKPADF_00154,19764.75,11375.67,5192.07,751.1,14836.05,12728.81,6879.62,969.33,19200.05,10018.78,5062.92,675.85
FGBKPADF_00155,13873.86,8780.04,4193.85,596.46,9908.16,9546.99,5335.36,741.58,13176.08,7582.77,3985.06,511.49
FGBKPADF_00156,10238.76,7659.51,4253.87,500.74,8465.39,9511.38,4937.31,584.88,10465.66,7364.01,4031.48,454.66
FGBKPADF_00157,10617.86,8388.14,4381.75,634.76,7754.24,9921.23,5448.07,659.58,10494.64,7312.29,4115.62,462.34
FGBKPADF_00158,1275.93,1050.75,754.21,334.31,1073.92,1313.64,696.59,244.16,1206.24,1066.66,615.09,284.16
FGBKPADF_00159,1756.07,1374.49,763.35,340.21,1339.56,1583.34,863.25,295.17,1575.04,1230.3,722.45,388.61
FGBKPADF_00160,66.58,107.91,50.89,44.18,56.92,152.27,52.75,43.73,77.3,112.77,78.34,64.51
FGBKPADF_00161,290.59,461.68,331.44,259.2,251.97,466.67,339.31,184.03,292.3,488.39,322.05,225.79
FGBKPADF_00162,101.82,165.52,116.13,78.06,89.56,168.18,103.11,45.55,111.93,160.25,124.76,92.16
FGBKPADF_00163,3492.55,1394.78,258.36,229.75,4537.79,1133.34,187.04,225.93,4446.51,967.45,237.91,164.35
FGBKPADF_00164,1832.83,910.38,546.74,379.97,1704.61,757.58,444.81,349.83,1636.24,991.19,516.45,476.17
FGBKPADF_00165,14.88,8.11,5.22,8.84,6.83,50.0,35.97,36.44,57.17,5.09,2.9,9.22
FGBKPADF_00166,5.48,15.42,16.96,14.73,4.55,190.15,237.39,174.92,202.11,7.63,2.9,6.14
FGBKPADF_00167,747.23,769.2,842.95,658.32,906.95,818.18,607.87,422.72,759.34,897.93,822.54,737.29
FGBKPADF_00168,491.1,510.36,435.83,379.97,426.53,459.85,360.89,364.41,396.18,466.34,369.93,368.64
FGBKPADF_00169,3282.64,2847.16,2376.17,2200.29,3248.33,2577.28,2053.82,1807.48,3026.08,2476.71,2125.27,1956.89
FGBKPADF_00170,1163.14,782.18,553.26,357.88,1411.66,837.88,535.93,382.63,1567.8,696.97,487.43,285.7
FGBKPADF_00171,22.71,12.17,2.61,4.42,29.6,12.88,8.39,3.64,24.16,11.87,14.51,1.54
FGBKPADF_00172,393.98,223.94,95.26,81.0,404.52,208.33,51.56,61.95,347.06,198.41,75.44,53.76
FGBKPADF_00173,225.58,145.24,35.23,20.62,223.89,126.52,50.36,65.59,187.62,91.57,47.87,27.65
FGBKPADF_00174,530.27,350.52,122.66,111.93,448.54,271.97,141.48,184.03,451.74,248.43,136.37,147.46
FGBKPADF_00175,125.32,108.73,28.71,17.67,110.05,62.12,33.57,51.02,97.43,66.98,29.01,30.72
FGBKPADF_00176,295.29,250.72,79.6,98.67,289.92,212.12,123.49,91.1,277.81,189.08,94.3,76.8
FGBKPADF_00177,198.95,190.68,54.8,70.69,234.52,141.67,81.53,87.46,218.22,177.21,71.08,58.37
FGBKPADF_00178,220.88,240.17,93.95,67.75,256.53,215.91,129.49,98.39,229.49,214.52,91.39,76.8
FGBKPADF_00179,479.35,295.35,108.3,117.82,433.36,290.15,166.66,127.54,450.13,284.89,165.38,138.24
FGBKPADF_00180,104.17,116.03,74.38,29.46,122.19,85.61,46.76,45.55,121.59,104.29,53.68,79.87
FGBKPADF_00181,1021.37,621.52,275.33,303.39,1014.72,539.39,335.71,233.22,1066.13,643.56,320.6,446.98
FGBKPADF_00182,5442.87,3054.88,1788.97,3241.53,5837.88,2921.22,1357.22,2940.79,6124.63,2719.21,1372.36,2896.93
FGBKPADF_00183,5055.15,2540.46,1175.69,1857.14,4719.18,2234.85,1111.43,1796.54,5200.22,1912.01,1098.18,1666.58
FGBKPADF_00184,7267.07,3979.86,1725.04,2067.74,6885.24,3436.37,1534.67,2166.42,7289.0,3088.9,1576.9,2221.08
FGBKPADF_00185,274.92,249.1,103.08,98.67,439.44,275.76,134.28,96.57,319.68,344.25,168.28,81.41
FGBKPADF_00186,637.57,544.44,386.24,270.99,856.86,609.09,461.6,306.11,730.35,582.51,445.36,198.15
FGBKPADF_00187,720.6,639.37,524.56,356.41,1014.72,790.91,595.88,384.45,927.63,724.11,542.56,319.49
FGBKPADF_00188,696.32,519.29,444.96,266.57,979.81,590.15,478.38,348.01,843.89,591.83,468.57,208.9
FGBKPADF_00189,345.42,110.35,52.19,22.09,527.47,196.97,93.52,38.26,458.18,207.74,87.04,30.72
FGBKPADF_00190,2591.8,333.48,186.6,157.58,2965.24,395.46,213.41,131.19,2763.57,312.03,220.51,90.63
FGBKPADF_00191,2792.32,1436.97,1235.71,621.5,3653.61,1545.46,1147.4,606.74,3309.52,1249.8,900.88,485.38
FGBKPADF_00192,94.77,131.44,151.36,103.09,140.41,133.33,85.13,49.2,159.44,107.68,101.55,50.69
FGBKPADF_00193,102.61,97.37,83.51,73.64,97.91,103.03,97.12,87.46,145.75,90.73,69.63,67.58
FGBKPADF_00194,1192.12,813.01,867.74,620.03,1162.72,897.73,710.98,632.25,1295.63,885.21,758.71,646.66
FGBKPADF_00195,704.15,513.61,511.51,309.28,655.74,518.18,354.89,302.46,648.22,562.16,369.93,313.35
FGBKPADF_00196,654.02,451.13,370.58,278.35,595.02,417.42,254.18,207.71,529.04,475.67,343.81,182.79
FGBKPADF_00197,3877.13,1971.67,1028.24,518.41,3655.13,1809.85,1168.98,439.11,3762.87,1763.63,969.06,440.84
FGBKPADF_00198,3860.68,2390.35,1439.27,405.01,4294.17,2366.67,1495.1,552.08,4279.83,2213.02,1315.78,393.22
FGBKPADF_00199,2862.81,1348.53,968.21,852.72,2723.13,1065.91,923.2,816.28,2730.56,1082.77,810.94,758.79
FGBKPADF_00200,849.05,607.73,397.98,409.43,820.43,541.67,358.49,317.04,731.15,607.1,377.18,451.59
FGBKPADF_00201,205935.96,129495.23,116541.72,27362.27,182306.33,136416.14,120069.68,25501.46,199166.33,120291.5,102532.18,21204.73
FGBKPADF_00202,8663.63,5587.22,4923.27,1178.2,7736.03,6097.74,5099.17,983.91,8395.39,5548.65,4556.63,881.67
FGBKPADF_00203,2369.36,1618.72,1173.08,338.73,1990.74,1866.67,1424.36,395.39,2428.59,1475.35,967.61,291.84
FGBKPADF_00204,1767.03,1274.69,1200.48,269.51,2016.54,1802.28,1100.64,326.15,2111.33,1460.93,1003.88,238.08
FGBKPADF_00205,1635.44,1102.68,953.86,260.68,1574.07,1537.12,996.33,247.8,1758.64,1155.69,739.85,147.46
FGBKPADF_00206,1496.81,967.99,621.12,179.68,1142.23,1094.7,889.63,256.91,1371.32,884.36,612.19,161.28
FGBKPADF_00207,3350.78,2388.73,1445.79,388.81,2768.67,2654.55,1957.9,592.17,3316.77,1962.04,1307.08,308.74
FGBKPADF_00208,3660.95,2512.87,1467.98,441.83,2878.72,2765.91,1960.3,533.86,3554.31,2164.69,1482.61,327.17
FGBKPADF_00209,1650.33,1127.02,525.86,170.84,1171.83,1107.58,844.07,198.6,1436.54,931.84,538.21,158.21
FGBKPADF_00210,1622.13,1194.36,656.35,185.57,1136.16,1196.97,959.17,204.07,1538.81,1047.16,584.63,175.11
FGBKPADF_00211,194.25,136.31,83.51,11.78,138.13,131.06,93.52,29.15,149.77,118.71,53.68,15.36
FGBKPADF_00212,3025.73,2178.58,1561.93,382.92,3410.74,3175.01,1565.84,424.54,3896.54,2674.27,1331.74,322.56
FGBKPADF_00213,7318.77,6002.65,3728.01,2328.42,6353.21,5481.07,4397.78,2222.91,6935.5,5110.29,3678.96,2231.83
FGBKPADF_00214,690.05,380.54,341.88,265.1,633.73,361.36,315.33,211.36,522.6,408.69,340.91,319.49
FGBKPADF_00215,552.98,649.11,394.07,272.46,569.98,600.0,338.11,271.49,595.87,529.09,339.46,282.63
FGBKPADF_00216,1665.21,1216.27,822.07,543.45,1703.1,1154.55,746.95,479.2,1613.69,1114.14,774.67,457.73
FGBKPADF_00217,709.63,378.11,200.95,89.84,588.95,308.33,209.82,56.48,627.28,279.81,181.34,92.16
FGBKPADF_00218,32.11,41.38,44.37,42.71,31.88,53.03,49.16,38.26,29.79,23.74,46.42,46.08
FGBKPADF_00219,96.34,85.2,90.04,86.89,91.83,85.61,99.51,109.32,97.43,82.25,103.0,115.2
FGBKPADF_00220,467.61,399.2,324.91,319.59,419.7,387.88,314.13,329.79,442.88,372.23,352.52,377.86
