Geneid,MM227,MM228,MM229,MM230,MM231,MM232,MM233,MM234,MM235,MM236,MM237,MM238
FGBKPADF_03213,133.15,101.42,99.17,119.29,157.86,127.27,129.49,151.23,168.29,128.03,117.51,159.75
FGBKPADF_03214,151.17,127.39,142.23,129.6,116.88,115.91,106.71,96.57,148.16,120.4,123.31,116.74
FGBKPADF_03215,101.04,130.63,70.46,76.58,92.59,85.61,105.51,100.21,99.85,101.75,66.73,101.38
FGBKPADF_03216,546.71,152.54,86.12,57.44,494.08,162.12,123.49,45.55,523.4,155.17,85.59,46.08
FGBKPADF_03217,3024.95,1125.4,634.17,275.4,3293.87,1253.03,754.14,309.75,3740.32,1082.77,599.14,331.78
FGBKPADF_03218,849.05,839.79,666.79,412.37,817.39,1284.85,1700.12,1105.99,1390.64,688.49,731.15,476.17
FGBKPADF_03219,1274.36,1062.92,825.98,640.65,891.01,1685.61,2156.93,1499.55,2009.87,908.1,1025.64,622.09
FGBKPADF_03220,346.98,292.91,263.58,170.84,338.49,618.94,647.44,373.52,744.84,317.11,307.55,170.5
FGBKPADF_03221,534.18,470.61,381.02,269.51,497.87,933.33,1057.48,701.49,1077.41,413.77,494.69,241.15
FGBKPADF_03222,1282.98,1849.97,2012.11,1452.13,1380.54,2000.0,1792.44,1530.53,1287.57,2018.85,2054.18,1631.25
FGBKPADF_03223,495.02,698.61,677.23,562.59,469.79,713.64,713.38,510.18,492.0,748.7,803.68,536.07
FGBKPADF_03224,2387.37,3858.97,3639.28,3089.83,2544.78,4027.28,3117.29,3079.27,2504.28,4288.68,3795.02,3471.4
FGBKPADF_03225,274.92,312.38,315.78,290.13,270.19,245.45,268.57,278.77,218.22,341.7,297.39,333.32
FGBKPADF_03226,2732.01,3222.84,3075.57,3053.02,2603.98,2897.73,2758.8,2926.22,2393.16,3270.35,2994.23,3145.77
FGBKPADF_03227,986.12,881.98,656.35,840.94,1026.11,780.3,527.54,845.43,1096.73,827.55,613.64,1041.42
FGBKPADF_03228,1543.8,1664.16,1439.27,1531.66,1391.16,1540.91,1510.69,1692.69,1391.45,1549.96,1492.76,1635.86
FGBKPADF_03229,963.41,891.72,812.93,1232.69,886.46,778.03,731.36,1175.22,909.11,806.35,673.12,1238.03
FGBKPADF_03230,163.7,265.32,277.94,460.97,133.58,284.09,315.33,426.36,126.42,325.59,348.17,540.68
FGBKPADF_03231,144.12,146.05,114.83,154.64,204.92,130.3,94.72,107.5,141.72,175.52,123.31,133.63
FGBKPADF_03232,1857.11,2280.0,1804.63,1724.59,1846.54,2055.31,1638.98,1623.45,1895.53,1930.67,1839.48,1817.11
FGBKPADF_03233,1823.43,2249.98,2008.19,1518.41,1782.03,2098.49,1557.45,1424.85,1781.18,2036.65,1703.12,1741.84
FGBKPADF_03234,252.21,336.73,331.44,293.08,243.62,358.33,378.87,389.92,304.38,322.2,301.74,356.36
FGBKPADF_03235,98.69,142.8,211.39,184.09,114.6,154.55,212.22,145.76,129.64,152.62,219.05,178.18
FGBKPADF_03236,542.02,640.19,394.07,387.33,523.68,495.46,358.49,313.39,445.3,531.63,390.24,373.25
FGBKPADF_03237,390.85,328.61,292.29,181.15,378.72,350.0,304.54,249.62,367.99,288.29,245.17,201.22
FGBKPADF_03238,1100.48,931.47,717.68,486.01,1028.38,874.24,808.1,490.13,1013.79,825.85,638.31,536.07
FGBKPADF_03239,833.39,720.51,614.59,354.93,824.23,734.85,579.1,413.61,847.11,613.88,555.62,336.39
FGBKPADF_03240,477.0,456.81,465.84,346.1,636.0,564.39,369.28,324.33,558.83,534.18,458.42,325.64
FGBKPADF_03241,513.03,613.41,538.91,500.74,459.93,524.24,612.67,422.72,461.4,645.25,631.05,457.73
FGBKPADF_03242,870.98,1267.39,1210.92,843.89,972.98,1171.97,1133.02,696.02,890.59,1179.43,1154.75,936.97
FGBKPADF_03243,74.41,55.99,63.94,58.91,53.13,36.36,64.74,83.81,53.95,62.74,36.27,66.05
FGBKPADF_03244,2894.92,2285.68,1894.67,976.43,2836.97,2234.85,1948.31,1029.46,2958.44,1996.8,1697.31,1022.99
FGBKPADF_03245,942.26,1225.2,1457.54,1319.59,868.24,1137.88,1311.66,1104.16,802.02,1118.38,1366.55,1451.54
FGBKPADF_03246,1976.95,2378.18,2393.13,2873.34,1917.12,2240.91,2322.38,2723.97,1912.44,2291.02,2551.77,2818.59
FGBKPADF_03247,531.05,356.2,208.78,188.51,585.91,371.21,256.58,215.0,570.11,375.62,279.98,172.03
FGBKPADF_03248,274.14,155.79,105.69,82.47,260.32,150.0,142.68,109.32,271.36,114.47,117.51,90.63
FGBKPADF_03249,31.33,14.6,10.44,22.09,25.8,21.97,9.59,21.86,28.99,16.96,7.25,9.22
FGBKPADF_03250,45.43,38.14,50.89,16.2,50.85,56.06,35.97,18.22,57.17,55.11,26.11,44.54
FGBKPADF_03251,14.1,8.93,9.13,5.89,10.63,10.61,3.6,3.64,11.27,11.02,11.61,9.22
FGBKPADF_03252,21.15,21.1,13.05,20.62,17.46,18.18,9.59,18.22,16.91,33.92,11.61,19.97
